EpochTime;CurrentPlaybackTime;CurrentBufferSize;CurrentPlaybackState;Action;Bitrate
0;0;0;INITIAL_BUFFERING;Starting;0
0;0;0;INITIAL_BUFFERING;Starting;0
0;0;1;INITIAL_BUFFERING;Writing;46980
2;0;1;PLAY;InitialBuffering-Play;0
11;0;0;PLAY;StillPlaying;46980
620;0;1;PLAY;Writing;46980.0
1012;1;0;PLAY;StillPlaying;46980.0
1334;1;1;PLAY;Writing;46980.0
1960;1;2;PLAY;Writing;46980.0
2013;2;1;PLAY;StillPlaying;46980.0
2587;2;2;PLAY;Writing;46980.0
3012;3;1;PLAY;StillPlaying;46980.0
3714;3;2;PLAY;Writing;46980.0
4012;4;1;PLAY;StillPlaying;46980.0
4808;4;2;PLAY;Writing;91917.0
5012;5;1;PLAY;StillPlaying;46980.0
5423;5;2;PLAY;Writing;46980.0
6013;6;1;PLAY;StillPlaying;91917.0
6014;6;2;PLAY;Writing;91917.0
6656;6;3;PLAY;Writing;46980.0
7012;7;2;PLAY;StillPlaying;46980.0
7288;7;3;PLAY;Writing;91917.0
7955;7;4;PLAY;Writing;135410.0
8013;8;3;PLAY;StillPlaying;91917.0
8537;8;4;PLAY;Writing;182366.0
9012;9;3;PLAY;StillPlaying;46980.0
9188;9;4;PLAY;Writing;226106.0
9840;9;5;PLAY;Writing;182366.0
10012;10;4;PLAY;StillPlaying;91917.0
10456;10;5;PLAY;Writing;226106.0
11012;11;4;PLAY;StillPlaying;135410.0
11126;11;5;PLAY;Writing;270316.0
11828;11;6;PLAY;Writing;352546.0
12012;12;5;PLAY;StillPlaying;182366.0
12468;12;6;PLAY;Writing;424520.0
13012;13;5;PLAY;StillPlaying;226106.0
13676;13;6;PLAY;Writing;537825.0
14012;14;5;PLAY;StillPlaying;182366.0
14274;14;6;PLAY;Writing;424520.0
15012;15;5;PLAY;StillPlaying;226106.0
15472;15;6;PLAY;Writing;537825.0
16012;16;5;PLAY;StillPlaying;270316.0
16648;16;6;PLAY;Writing;424520.0
17012;17;5;PLAY;StillPlaying;352546.0
17832;17;6;PLAY;Writing;352546.0
18012;18;5;PLAY;StillPlaying;424520.0
18476;18;6;PLAY;Writing;270316.0
19012;19;5;PLAY;StillPlaying;537825.0
19660;19;6;PLAY;Writing;352546.0
20012;20;5;PLAY;StillPlaying;424520.0
20860;20;6;PLAY;Writing;270316.0
21012;21;5;PLAY;StillPlaying;537825.0
21496;21;6;PLAY;Writing;226106.0
22012;22;5;PLAY;StillPlaying;424520.0
22150;22;6;PLAY;Writing;270316.0
22836;22;7;PLAY;Writing;352546.0
23012;23;6;PLAY;StillPlaying;352546.0
23592;23;7;PLAY;Writing;270316.0
24012;24;6;PLAY;StillPlaying;270316.0
24801;24;7;PLAY;Writing;352546.0
25012;25;6;PLAY;StillPlaying;352546.0
25988;25;7;PLAY;Writing;424520.0
26013;26;6;PLAY;StillPlaying;270316.0
27012;27;5;PLAY;StillPlaying;226106.0
27142;27;6;PLAY;Writing;352546.0
28012;28;5;PLAY;StillPlaying;270316.0
28262;28;6;PLAY;Writing;424520.0
29012;29;5;PLAY;StillPlaying;352546.0
29396;29;6;PLAY;Writing;352546.0
30012;30;5;PLAY;StillPlaying;270316.0
30600;30;6;PLAY;Writing;270316.0
31012;31;5;PLAY;StillPlaying;352546.0
32012;32;4;PLAY;StillPlaying;424520.0
32284;32;5;PLAY;Writing;352546.0
33012;33;4;PLAY;StillPlaying;352546.0
33415;33;5;PLAY;Writing;270316.0
34012;34;4;PLAY;StillPlaying;424520.0
34496;34;5;PLAY;Writing;226106.0
35012;35;4;PLAY;StillPlaying;352546.0
36012;36;3;PLAY;StillPlaying;270316.0
36184;36;4;PLAY;Writing;182366.0
36832;36;5;PLAY;Writing;135410.0
37012;37;4;PLAY;StillPlaying;352546.0
37521;37;5;PLAY;Writing;182366.0
38012;38;4;PLAY;StillPlaying;270316.0
38196;38;5;PLAY;Writing;135410.0
38864;38;6;PLAY;Writing;182366.0
39012;39;5;PLAY;StillPlaying;226106.0
39495;39;6;PLAY;Writing;135410.0
40012;40;5;PLAY;StillPlaying;182366.0
40241;40;6;PLAY;Writing;182366.0
40896;40;7;PLAY;Writing;226106.0
41012;41;6;PLAY;StillPlaying;135410.0
42012;42;5;PLAY;StillPlaying;182366.0
42592;42;6;PLAY;Writing;270316.0
43012;43;5;PLAY;StillPlaying;135410.0
43784;43;6;PLAY;Writing;226106.0
44012;44;5;PLAY;StillPlaying;182366.0
44988;44;6;PLAY;Writing;182366.0
45013;45;5;PLAY;StillPlaying;135410.0
46012;46;4;PLAY;StillPlaying;182366.0
46624;46;5;PLAY;Writing;226106.0
47012;47;4;PLAY;StillPlaying;226106.0
47288;47;5;PLAY;Writing;135410.0
48012;48;4;PLAY;StillPlaying;270316.0
48472;48;5;PLAY;Writing;182366.0
49012;49;4;PLAY;StillPlaying;226106.0
49080;49;5;PLAY;Writing;135410.0
49712;49;6;PLAY;Writing;182366.0
50012;50;5;PLAY;StillPlaying;182366.0
50872;50;6;PLAY;Writing;135410.0
51013;51;5;PLAY;StillPlaying;226106.0
52012;52;4;PLAY;StillPlaying;135410.0
52048;52;5;PLAY;Writing;182366.0
53013;53;4;PLAY;StillPlaying;182366.0
53184;53;5;PLAY;Writing;135410.0
54012;54;4;PLAY;StillPlaying;135410.0
54822;54;5;PLAY;Writing;182366.0
55012;55;4;PLAY;StillPlaying;182366.0
56013;56;3;PLAY;StillPlaying;135410.0
56022;56;4;PLAY;Writing;91917.0
57012;57;3;PLAY;StillPlaying;182366.0
57240;57;4;PLAY;Writing;135410.0
58012;58;3;PLAY;StillPlaying;135410.0
58400;58;4;PLAY;Writing;91917.0
59012;59;3;PLAY;StillPlaying;182366.0
60012;60;2;PLAY;StillPlaying;91917.0
60052;60;3;PLAY;Writing;135410.0
61012;61;2;PLAY;StillPlaying;135410.0
61658;61;3;PLAY;Writing;46980.0
62012;62;2;PLAY;StillPlaying;91917.0
62807;62;3;PLAY;Writing;91917.0
63012;63;2;PLAY;StillPlaying;135410.0
63513;63;3;PLAY;Writing;46980.0
64012;64;2;PLAY;StillPlaying;46980.0
65012;65;1;PLAY;StillPlaying;91917.0
65190;65;2;PLAY;Writing;91917.0
65906;65;3;PLAY;Writing;46980.0
66012;66;2;PLAY;StillPlaying;46980.0
67012;67;1;PLAY;StillPlaying;91917.0
67072;67;2;PLAY;Writing;91917.0
67703;67;3;PLAY;Writing;46980.0
68012;68;2;PLAY;StillPlaying;46980.0
68389;68;3;PLAY;Writing;91917.0
69012;69;2;PLAY;StillPlaying;91917.0
70012;70;1;PLAY;StillPlaying;46980.0
70049;70;2;PLAY;Writing;46980.0
71012;71;1;PLAY;StillPlaying;91917.0
71220;71;2;PLAY;Writing;91917.0
71848;71;3;PLAY;Writing;46980.0
72012;72;2;PLAY;StillPlaying;46980.0
72500;72;3;PLAY;Writing;91917.0
73012;73;2;PLAY;StillPlaying;91917.0
73154;73;3;PLAY;Writing;46980.0
73865;73;4;PLAY;Writing;91917.0
74013;74;3;PLAY;StillPlaying;46980.0
75012;75;2;PLAY;StillPlaying;91917.0
75036;75;3;PLAY;Writing;135410.0
76012;76;2;PLAY;StillPlaying;46980.0
76220;76;3;PLAY;Writing;91917.0
77012;77;2;PLAY;StillPlaying;91917.0
77864;77;3;PLAY;Writing;135410.0
78013;78;2;PLAY;StillPlaying;135410.0
79012;79;1;PLAY;StillPlaying;91917.0
79052;79;2;PLAY;Writing;91917.0
80012;80;1;PLAY;StillPlaying;135410.0
80193;80;2;PLAY;Writing;135410.0
80846;80;3;PLAY;Writing;91917.0
81012;81;2;PLAY;StillPlaying;91917.0
